,location,price(L),rate_persqft,area_insqft,building_status,bhk,property_type
0,Nizampet,108.0,6000,1805,Under Construction,3.0,Apartment
1,Bachupally,85.8,5500,1560,Under Construction,3.0,Apartment
2,Dundigal,55.64,5200,1070,Under Construction,2.0,Apartment
3,Other,60.48,4999,1210,Under Construction,2.0,Apartment
4,Kollur,113.0,5999,1900,Under Construction,3.0,Apartment
5,Kukatpally,124.0,8399,1480,Under Construction,3.0,Apartment
6,Other,48.99,2039,2403,New,0.0,Residential Plot
7,Jeedimetla,101.0,6073,1675,Under Construction,3.0,Apartment
8,Other,107.0,6299,1705,Under Construction,3.0,Apartment
9,Rajendra Nagar,108.0,6000,1811,Under Construction,3.0,Apartment
10,Other,104.0,6000,1735,Ready to move,3.0,Apartment
11,Kompally,66.82,4500,1485,Ready to move,2.0,Apartment
12,Other,688.0,14999,4591,Under Construction,4.0,Villa
13,Tellapur,134.0,7299,1845,Under Construction,3.0,Apartment
14,Tellapur,94.17,6299,1495,Under Construction,2.0,Apartment
15,Other,82.24,6400,1285,Under Construction,2.0,Apartment
16,Shamshabad,227.0,6500,3500,Under Construction,4.0,Apartment
17,Puppalaguda,404.0,10891,3715,Under Construction,4.0,Apartment
18,Mallampet,81.25,5000,1625,Under Construction,3.0,Apartment
19,Tellapur,106.0,6499,1643,Under Construction,3.0,Apartment
20,Other,102.0,6000,1711,Under Construction,3.0,Apartment
21,Other,100.0,5199,1942,Under Construction,3.0,Apartment
22,Mallapur,55.33,4999,1107,Under Construction,2.0,Apartment
23,Tukkuguda,82.65,4800,1722,Under Construction,3.0,Apartment
24,Kondapur,166.0,8688,1915,Under Construction,3.0,Apartment
25,Chandanagar,86.12,6500,1325,Under Construction,2.0,Apartment
26,Nizampet,52.52,5500,955,Under Construction,2.0,Apartment
27,Bachupally,64.24,5500,1168,Under Construction,2.0,Apartment
28,Dundigal,58.03,5200,1116,Under Construction,3.0,Apartment
29,Other,60.48,4999,1210,Under Construction,2.0,Apartment
30,Kollur,145.0,5999,2425,Under Construction,3.0,Apartment
31,Kukatpally,104.0,8399,1250,Under Construction,2.0,Apartment
32,Other,97.81,2039,4797,New,0.0,Residential Plot
33,Other,146.0,7400,1983,Under Construction,3.0,Apartment
34,Other,85.03,6299,1350,Under Construction,3.0,Apartment
35,Rajendra Nagar,118.0,6000,1980,Under Construction,3.0,Apartment
36,Other,114.0,6000,1910,Ready to move,3.0,Apartment
37,Kompally,75.69,4500,1682,Ready to move,3.0,Apartment
38,Other,974.0,14999,6500,Under Construction,4.0,Villa
39,Tellapur,154.0,7299,2115,Under Construction,3.0,Apartment
40,Sainikpuri,70.67,5889,1200,Ready to move,3.0,Apartment
41,Chandanagar,149.0,8399,1785,Under Construction,3.0,Apartment
42,Chandanagar,134.0,8399,1600,Under Construction,3.0,Apartment
43,Kollur,433.0,11136,3888,Under Construction,4.0,Villa
44,Kollur,496.0,11133,4455,Under Construction,4.0,Villa
45,Kollur,569.0,11132,5111,Under Construction,5.0,Villa
46,Bolarum,60.76,4900,1240,Ready to move,2.0,Apartment
47,Bolarum,78.41,4900,1601,Ready to move,3.0,Apartment
48,Bolarum,68.61,4900,1400,Ready to move,3.0,Apartment
49,Bolarum,58.8,4900,1200,Ready to move,2.0,Apartment
50,Bolarum,76.93,4900,1570,Ready to move,3.0,Apartment
51,Bolarum,77.43,4900,1581,Ready to move,3.0,Apartment
52,Bolarum,64.69,4900,1321,Ready to move,3.0,Apartment
53,Bolarum,56.36,4900,1150,Ready to move,2.0,Apartment
54,Bolarum,57.83,4900,1180,Ready to move,2.0,Apartment
55,Bolarum,53.9,4900,1100,Ready to move,2.0,Apartment
56,Bolarum,57.34,4900,1170,Ready to move,2.0,Apartment
57,Kollur,85.78,5999,1430,Under Construction,3.0,Apartment
58,Kollur,106.0,5999,1775,Under Construction,3.0,Apartment
59,Kollur,77.68,5999,1295,Under Construction,2.0,Apartment
60,Mallampet,79.75,5000,1595,Under Construction,3.0,Apartment
61,Mallampet,63.25,5000,1265,Under Construction,2.0,Apartment
62,Bachupally,67.76,5600,1210,Under Construction,2.0,Apartment
63,Bachupally,66.07,5604,1180,Under Construction,2.0,Apartment
64,Bachupally,69.16,5600,1235,Under Construction,2.0,Apartment
65,Bachupally,83.43,5603,1490,Under Construction,3.0,Apartment
66,Jeedimetla,108.0,5950,1830,Ready to move,3.0,Apartment
67,Jeedimetla,108.0,5950,1830,Ready to move,3.0,Apartment
68,Jeedimetla,123.0,5950,2080,Ready to move,3.0,Apartment
69,Jeedimetla,123.0,5950,2080,Ready to move,3.0,Apartment
70,Jeedimetla,148.0,5950,2495,Ready to move,3.0,Apartment
71,Jeedimetla,148.0,5950,2495,Ready to move,3.0,Apartment
72,Jeedimetla,180.0,5950,3030,Ready to move,4.0,Apartment
73,Jeedimetla,180.0,5950,3030,Ready to move,4.0,Apartment
74,Jeedimetla,113.0,5950,1915,Ready to move,3.0,Apartment
75,Jeedimetla,113.0,5950,1915,Ready to move,3.0,Apartment
76,Jeedimetla,154.0,5950,2590,Ready to move,3.0,Apartment
77,Jeedimetla,154.0,5950,2590,Ready to move,3.0,Apartment
78,Jeedimetla,187.0,5950,3150,Ready to move,4.0,Apartment
79,Jeedimetla,187.0,5950,3150,Ready to move,4.0,Apartment
80,Other,157.0,7215,2176,Under Construction,4.0,Villa
81,Other,171.0,7193,2377,Under Construction,4.0,Villa
82,Other,190.0,7210,2635,Under Construction,4.0,Villa
83,Other,284.0,7188,3951,Under Construction,4.0,Villa
84,Other,236.0,7188,3283,Under Construction,4.0,Villa
85,Other,329.0,7205,4566,Under Construction,4.0,Villa
86,Manikonda,128.0,7000,1841,Ready to move,3.0,Apartment
87,Manikonda,101.0,7000,1449,Ready to move,2.0,Apartment
88,Manikonda,92.12,7000,1316,Ready to move,2.0,Apartment
89,Manikonda,101.0,7000,1446,Ready to move,2.0,Apartment
90,Manikonda,90.72,7000,1296,Ready to move,2.0,Apartment
91,Manikonda,135.0,7000,1932,Ready to move,3.0,Apartment
92,Manikonda,131.0,7000,1874,Ready to move,3.0,Apartment
93,Manikonda,117.0,7000,1676,Ready to move,3.0,Apartment
94,Manikonda,108.0,7000,1551,Ready to move,2.0,Apartment
95,Manikonda,134.0,7000,1927,Ready to move,3.0,Apartment
96,Manikonda,134.0,7000,1926,Ready to move,3.0,Apartment
97,Manikonda,121.0,7000,1732,Ready to move,3.0,Apartment
98,Other,451.0,13999,3225,Under Construction,4.0,Apartment
99,Bachupally,66.35,5604,1185,Ready to move,2.0,Apartment
100,Dammaiguda,260.0,8125,3200,Ready to move,3.0,Independent House
101,Dammaiguda,260.0,8125,3200,Ready to move,3.0,Independent House
102,Other,60.0,5000,1200,Ready to move,2.0,Independent House
103,Other,70.0,5833,1200,Ready to move,3.0,Independent Floor
104,Other,60.0,5000,1200,Ready to move,2.0,Independent House
105,Kukatpally,38.0,5654,672,Ready to move,2.0,Apartment
106,Dammaiguda,260.0,8125,3200,Ready to move,3.0,Independent House
107,Other,60.0,5000,1200,Ready to move,2.0,Independent House
108,Other,200.0,7142,2800,Ready to move,5.0,Independent House
109,Kukatpally,38.0,5654,672,Ready to move,2.0,Apartment
110,Sainikpuri,135.0,5400,2500,Ready to move,5.0,Independent House
111,Gachibowli,590.0,6555,9000,Ready to move,10.0,Independent House
112,Kukatpally,38.0,5654,672,Ready to move,2.0,Apartment
113,Other,60.0,5000,1200,Ready to move,2.0,Independent House
114,Dammaiguda,260.0,8125,3200,Ready to move,3.0,Independent House
115,Other,200.0,7142,2800,Ready to move,5.0,Independent House
116,Sainikpuri,135.0,5400,2500,Ready to move,5.0,Independent House
117,Gachibowli,590.0,6555,9000,Ready to move,10.0,Independent House
118,Other,70.0,5833,1200,Ready to move,3.0,Independent Floor
119,Dammaiguda,260.0,8125,3200,Ready to move,3.0,Independent House
120,Other,44.0,4382,1004,Ready to move,2.0,Apartment
121,Other,44.0,4382,1004,Ready to move,2.0,Apartment
122,Kapra,72.0,5034,1430,Ready to move,3.0,Apartment
123,Other,52.0,4333,1200,Ready to move,2.0,Apartment
124,Bhanur,46.2,3333,1386,Resale,0.0,Residential Plot
125,Adibatla,28.0,1555,1800,Resale,0.0,Residential Plot
126,Adibatla,78.0,5200,1500,Ready to move,3.0,Apartment
127,Tellapur,42.0,3333,1260,Ready to move,2.0,Apartment
128,Other,47.0,5000,940,Ready to move,2.0,Apartment
129,Other,90.0,4090,2200,Ready to move,2.0,Independent House
130,Sadashivpet,18.0,661,2720,Resale,0.0,Residential Plot
131,Other,265.0,4732,5600,Ready to move,7.0,Independent House
132,Other,235.0,4351,5400,Ready to move,7.0,Independent House
133,Kukatpally,129.0,3611,3600,Resale,0.0,Residential Plot
134,Other,90.0,3333,2700,Resale,0.0,Residential Plot
135,Kompally,80.0,5555,1440,Ready to move,3.0,Apartment
136,Other,160.0,10847,1475,Ready to move,3.0,Apartment
137,Other,160.0,10847,1475,Ready to move,3.0,Apartment
138,Bandlaguda Jagir,130.0,12584,1033,Ready to move,2.0,Independent House
139,Other,150.0,12345,1215,Ready to move,2.0,Independent House
140,Isnapur,42.37,4507,940,Ready to move,2.0,Apartment
141,Shankarpalli,41.9,4457,940,Ready to move,2.0,Apartment
142,Isnapur,41.9,4457,940,Ready to move,2.0,Apartment
143,Isnapur,41.9,4457,940,Ready to move,2.0,Apartment
144,Isnapur,42.37,4507,940,Ready to move,2.0,Apartment
145,Shankarpalli,41.9,4457,940,Ready to move,2.0,Apartment
146,Isnapur,41.9,4457,940,Ready to move,2.0,Apartment
147,Isnapur,41.9,4457,940,Ready to move,2.0,Apartment
148,Isnapur,42.37,4507,940,Ready to move,2.0,Apartment
149,Shankarpalli,41.9,4457,940,Ready to move,2.0,Apartment
150,Isnapur,42.37,4507,940,Ready to move,2.0,Apartment
151,Isnapur,42.37,4507,940,Ready to move,2.0,Apartment
152,Other,42.37,4507,940,Ready to move,2.0,Apartment
153,Other,666.0,13365,4983,Under Construction,4.0,Apartment
154,Other,719.0,11847,6069,Under Construction,4.0,Apartment
155,Other,586.0,11826,4955,Under Construction,4.0,Apartment
156,Taramatipet,167.0,6700,2500,Under Construction,3.0,Villa
157,Other,167.0,6700,2500,Under Construction,3.0,Villa
158,Dundigal,47.33,4466,1060,Under Construction,2.0,Apartment
159,Dundigal,66.99,4466,1500,Under Construction,3.0,Apartment
160,Sadashivpet,9.31,1055,882,New,0.0,Residential Plot
161,Other,75.0,4285,1750,Ready to move,3.0,Independent House
162,Other,49.0,5444,900,Ready to move,2.0,Independent House
163,Other,70.0,4000,1750,Under Construction,2.0,Independent House
164,Other,68.0,3820,1780,Ready to move,3.0,Independent House
165,Other,650.0,18055,3600,Ready to move,4.0,Independent House
166,Other,235.0,6714,3500,Ready to move,3.0,Villa
167,Kondapur,210.0,10500,2000,Under Construction,3.0,Apartment
168,Kondapur,203.0,10500,1935,Under Construction,3.0,Apartment
169,Kondapur,253.0,10500,2410,Under Construction,3.0,Apartment
170,Kondapur,247.00000000000003,10500,2360,Under Construction,3.0,Apartment
171,Kondapur,284.0,10500,2710,Under Construction,3.0,Apartment
172,Kondapur,250.0,10500,2390,Under Construction,3.0,Apartment
173,Kondapur,216.0,10500,2060,Under Construction,3.0,Apartment
174,Other,100.0,7692,1300,Ready to move,2.0,Apartment
175,Other,180.0,2621,6867,Resale,0.0,Residential Plot
176,Other,18.2,2600,700,New,0.0,Residential Plot
177,Other,26.0,2600,1000,Resale,0.0,Residential Plot
178,Kokapet,303.0,10000,3030,Under Construction,4.0,Apartment
179,Puppalaguda,610.0,11200,5454,Under Construction,4.0,Apartment
180,Other,67.5,2500,2700,New,0.0,Residential Plot
181,Other,40.5,2500,1620,New,0.0,Residential Plot
182,Other,58.5,2500,2340,New,0.0,Residential Plot
183,Adibatla,41.25,3055,1350,New,0.0,Residential Plot
184,Adibatla,40.65,27100,150,New,0.0,Residential Plot
185,Adibatla,40.5,3000,1350,New,0.0,Residential Plot
186,Adibatla,40.95,27300,150,New,0.0,Residential Plot
187,Other,62.0,5065,1224,Ready to move,2.0,Apartment
188,Mallapur,85.0,5195,1636,Ready to move,3.0,Apartment
189,Other,62.0,5511,1125,Ready to move,2.0,Apartment
190,Bolarum,66.0,5866,1125,Ready to move,2.0,Apartment
191,Other,62.0,5511,1125,Ready to move,2.0,Apartment
192,Serilingampally,215.0,10386,2070,Ready to move,3.0,Apartment
193,Other,300.0,6666,4500,Ready to move,8.0,Independent House
194,Banjara Hills,480.0,13333,3600,Ready to move,4.0,Apartment
195,Himayat Nagar,320.0,13250,2415,Ready to move,3.0,Apartment
196,Other,406.0,8458,4800,Ready to move,8.0,Independent House
197,Himayat Nagar,400.0,10000,4000,Ready to move,8.0,Independent House
198,Banjara Hills,2500.0,20833,12000,Ready to move,7.0,Independent House
199,Other,480.0,8000,6000,Ready to move,6.0,Independent House
200,Adibatla,21.7,1444,1503,New,0.0,Residential Plot
201,Adibatla,38.98,1444,2700,New,0.0,Residential Plot
202,Adibatla,23.78,1444,1647,New,0.0,Residential Plot
203,Adibatla,36.38,1444,2520,New,0.0,Residential Plot
204,Adibatla,32.49,1444,2250,New,0.0,Residential Plot
205,Kadthal,42.5,833,5103,New,0.0,Residential Plot
206,Kadthal,59.97,833,7200,New,0.0,Residential Plot
207,Kadthal,14.99,833,1800,New,0.0,Residential Plot
208,Kadthal,46.85,833,5625,New,0.0,Residential Plot
209,Kadthal,37.48,833,4500,New,0.0,Residential Plot
210,Kadthal,52.47,833,6300,New,0.0,Residential Plot
211,Kadthal,43.7,833,5247,New,0.0,Residential Plot
212,Kadthal,89.96,833,10800,New,0.0,Residential Plot
213,Kadthal,22.49,833,2700,New,0.0,Residential Plot
214,Kadthal,13.71,833,1647,New,0.0,Residential Plot
215,Kadthal,17.69,833,2124,New,0.0,Residential Plot
216,Kadthal,74.97,833,9000,New,0.0,Residential Plot
217,Kadthal,20.01,833,2403,New,0.0,Residential Plot
218,Ameenpur,63.8,5800,1100,Ready to move,2.0,Apartment
219,Other,21.16,9887,214,New,0.0,Residential Plot
220,Shadnagar,99.94,2221,4500,New,0.0,Residential Plot
221,Yadagirigutta,14.38,999,1440,New,0.0,Residential Plot
222,Shadnagar,53.37,2221,2403,New,0.0,Residential Plot
223,Shadnagar,19.99,1111,1800,New,0.0,Residential Plot
224,Yadagirigutta,16.45,999,1647,New,0.0,Residential Plot
225,Yadagirigutta,12.49,999,1251,New,0.0,Residential Plot
226,Yadagirigutta,17.62,999,1764,New,0.0,Residential Plot
227,Yadagirigutta,12.31,999,1233,New,0.0,Residential Plot
228,Shadnagar,29.99,1111,2700,New,0.0,Residential Plot
229,Shadnagar,14.99,1111,1350,New,0.0,Residential Plot
230,Chevella,12.34,567,2178,New,0.0,Residential Plot
231,Chevella,30.87,567,5445,New,0.0,Residential Plot
232,Shadnagar,24.99,1111,2250,New,0.0,Residential Plot
233,Chevella,18.52,567,3267,New,0.0,Residential Plot
234,Chevella,15.46,567,2727,New,0.0,Residential Plot
235,Shadnagar,17.99,1111,1620,New,0.0,Residential Plot
236,Shadnagar,12.49,1111,1125,New,0.0,Residential Plot
237,Ibrahimpatnam,98.5,2778,3546,New,0.0,Residential Plot
238,Ibrahimpatnam,61.5,2778,2214,New,0.0,Residential Plot
239,Ibrahimpatnam,50.0,2778,1800,New,0.0,Residential Plot
240,Bachupally,384.0,12500,3075,Under Construction,4.0,Villa
241,Bachupally,483.0,12500,3865,Under Construction,4.0,Villa
242,Narsingi,107.0,6200,1737,Under Construction,3.0,Apartment
243,Manchirevula,94.0,6037,1557,Under Construction,3.0,Apartment
244,Bachupally,122.0,7178,1700,Under Construction,3.0,Apartment
245,Narsingi,87.29,6100,1431,Under Construction,3.0,Apartment
246,Other,235.0,7343,3200,Ready to move,5.0,Villa
247,Kapra,120.0,5217,2300,Ready to move,3.0,Villa
248,Bolarum,54.28,4600,1180,Ready to move,2.0,Apartment
249,Bolarum,52.42,4500,1165,Ready to move,2.0,Apartment
250,Sainikpuri,180.0,3750,4800,Ready to move,5.0,Independent House
251,Other,61.98,4999,1240,Under Construction,2.0,Apartment
252,Other,77.48,4999,1550,Under Construction,3.0,Apartment
253,Chevella,112.0,5000,2250,Resale,0.0,Residential Plot
254,Kollur,75.35,5500,1370,Under Construction,2.0,Apartment
255,Kollur,111.0,5500,2020,Under Construction,3.0,Apartment
256,Kollur,121.0,5500,2210,Under Construction,3.0,Apartment
257,Kollur,100.0,5500,1835,Under Construction,3.0,Apartment
258,Kondapur,170.0,8500,2005,Under Construction,3.0,Apartment
259,Kondapur,165.0,8500,1945,Under Construction,3.0,Apartment
260,Puppalaguda,100.0,6200,1620,Under Construction,3.0,Apartment
261,Puppalaguda,85.8,6500,1320,Under Construction,2.0,Apartment
262,Puppalaguda,84.17,6500,1295,Under Construction,2.0,Apartment
263,Puppalaguda,76.88,6195,1241,Under Construction,2.0,Apartment
264,Manikonda,80.6,6500,1240,Under Construction,2.0,Apartment
265,Puppalaguda,97.65,6200,1575,Under Construction,3.0,Apartment
266,Manikonda,84.5,6500,1300,Under Construction,2.0,Apartment
267,Manikonda,77.35,6500,1190,Under Construction,2.0,Apartment
268,Kokapet,1200.0,36363,3300,Ready to move,4.0,Villa
269,Aminpur,50.82,4200,1210,Under Construction,2.0,Apartment
270,Attapur,97.0,6217,1560,Ready to move,3.0,Apartment
271,Kokapet,232.0,11328,2048,Ready to move,3.0,Apartment
272,Ghatkesar,22.24,1428,1557,New,0.0,Residential Plot
273,Manikonda,80.0,5714,1400,Ready to move,3.0,Apartment
274,Puppalaguda,68.0,6325,1075,Ready to move,2.0,Apartment
275,Kondapur,97.5,6500,1500,Under Construction,3.0,Apartment
276,Kondapur,110.0,6285,1750,Ready to move,3.0,Apartment
277,Other,59.0,5042,1170,Ready to move,2.0,Apartment
278,Other,82.5,5500,1500,Under Construction,3.0,Apartment
279,Other,60.0,6185,970,Ready to move,2.0,Apartment
280,Tukkuguda,403.0,9500,4250,Ready to move,4.0,Villa
281,Attapur,489.0,14500,3379,Ready to move,4.0,Villa
282,Bhuvanagiri,48.06,18000,267,New,0.0,Residential Plot
283,Bhuvanagiri,54.0,27000,200,New,0.0,Residential Plot
284,Bhuvanagiri,36.0,2000,1800,New,0.0,Residential Plot
285,Other,39.6,18000,220,New,0.0,Residential Plot
286,Other,28.8,18000,160,New,0.0,Residential Plot
287,Other,26.28,2000,1314,New,0.0,Residential Plot
288,Bhuvanagiri,54.0,18000,300,New,0.0,Residential Plot
289,Bhuvanagiri,49.5,16500,300,New,0.0,Residential Plot
290,Bhuvanagiri,36.3,18150,200,New,0.0,Residential Plot
291,Bhuvanagiri,33.0,16500,200,New,0.0,Residential Plot
292,Bhuvanagiri,30.19,16500,183,New,0.0,Residential Plot
293,Other,28.8,18000,160,New,0.0,Residential Plot
294,Other,45.0,20454,220,New,0.0,Residential Plot
295,Shadnagar,64.73,2055,3150,New,0.0,Residential Plot
296,Shadnagar,73.98,2055,3600,New,0.0,Residential Plot
297,Shadnagar,36.99,2055,1800,New,0.0,Residential Plot
298,Shadnagar,55.48,2055,2700,New,0.0,Residential Plot
299,Shadnagar,27.74,2055,1350,New,0.0,Residential Plot
300,Shadnagar,37.8,2333,1620,New,0.0,Residential Plot
301,Shadnagar,31.5,2333,1350,New,0.0,Residential Plot
302,Bhuvanagiri,20.13,11000,183,New,0.0,Residential Plot
303,Bhuvanagiri,17.98,10900,165,New,0.0,Residential Plot
304,Bhuvanagiri,18.15,11000,165,New,0.0,Residential Plot
305,Other,160.0,6666,2400,Ready to move,3.0,Independent House
306,Other,96.2,5200,1850,Ready to move,3.0,Apartment
307,Rajendra Nagar,69.0,5454,1265,Ready to move,2.0,Apartment
308,Peerzadiguda,65.0,4744,1370,Ready to move,3.0,Apartment
309,Peerzadiguda,50.0,4504,1110,Ready to move,2.0,Apartment
310,Peerzadiguda,64.0,4737,1351,Ready to move,3.0,Apartment
311,Peerzadiguda,65.0,4693,1385,Ready to move,3.0,Apartment
312,Peerzadiguda,75.0,4705,1594,Ready to move,3.0,Apartment
313,Pragathi Nagar Kukatpally,55.0,5238,1050,Ready to move,2.0,Apartment
314,Other,100.0,6104,1640,Under Construction,3.0,Apartment
315,Kondapur,125.0,7777,1615,Under Construction,3.0,Apartment
316,Other,54.75,6257,875,Under Construction,1.0,Apartment
317,Kukatpally,114.0,6881,1661,Under Construction,3.0,Apartment
318,Kukatpally,119.0,7607,1575,Under Construction,3.0,Apartment
319,Pragathi Nagar Kukatpally,77.0,5923,1300,Ready to move,2.0,Apartment
320,Patancheru,84.38,5099,1655,Under Construction,3.0,Apartment
321,Patancheru,66.28,5099,1300,Under Construction,2.0,Apartment
322,Maheshwaram,96.01,2667,3600,New,0.0,Residential Plot
323,Maheshwaram,48.0,2667,1800,New,0.0,Residential Plot
324,Maheshwaram,36.0,2667,1350,New,0.0,Residential Plot
325,Maheshwaram,52.8,2667,1980,New,0.0,Residential Plot
326,Maheshwaram,43.2,2667,1620,New,0.0,Residential Plot
327,Maheshwaram,40.8,2667,1530,New,0.0,Residential Plot
328,Kapra,67.0,5583,1200,Ready to move,2.0,Apartment
329,Other,200.0,5000,4000,Under Construction,7.0,Independent House
330,Kondapur,139.0,8799,1585,Under Construction,3.0,Apartment
331,Kapra,89.0,5562,1600,Ready to move,3.0,Apartment
332,LB Nagar,65.0,5555,1170,Ready to move,2.0,Apartment
333,Other,105.0,6521,1610,Ready to move,3.0,Apartment
334,Other,59.0,5175,1140,Ready to move,2.0,Apartment
335,LB Nagar,49.0,6049,810,Ready to move,2.0,Apartment
336,Other,130.0,6190,2100,Ready to move,3.0,Apartment
337,Other,175.0,5833,3000,Ready to move,5.0,Independent House
338,Patancheru,56.0,3111,1800,Resale,0.0,Residential Plot
339,Kokapet,798.0,19000,4200,Ready to move,4.0,Villa
340,Taramatipet,79.99,2222,3600,New,0.0,Residential Plot
341,Taramatipet,79.99,2222,3600,New,0.0,Residential Plot
342,Taramatipet,39.99,2222,1800,New,0.0,Residential Plot
343,Taramatipet,39.99,2222,1800,New,0.0,Residential Plot
344,Taramatipet,33.39,2222,1503,New,0.0,Residential Plot
345,Taramatipet,33.39,2222,1503,New,0.0,Residential Plot
346,Taramatipet,36.59,2222,1647,New,0.0,Residential Plot
347,Taramatipet,36.59,2222,1647,New,0.0,Residential Plot
348,Taramatipet,66.59,2222,2997,New,0.0,Residential Plot
349,Taramatipet,66.59,2222,2997,New,0.0,Residential Plot
350,Bachupally,78.21,5500,1422,Under Construction,3.0,Apartment
351,Bachupally,85.1,5599,1520,Under Construction,3.0,Apartment
352,Bachupally,80.62,5599,1440,Under Construction,3.0,Apartment
353,Bachupally,66.34,5599,1185,Under Construction,2.0,Apartment
354,Bachupally,64.94,5599,1160,Under Construction,2.0,Apartment
355,Bachupally,64.38,5599,1150,Ready to move,2.0,Apartment
356,Bachupally,76.17,5500,1385,Under Construction,3.0,Apartment
357,Mallampet,59.86,4100,1460,Under Construction,2.0,Apartment
358,Mallampet,101.0,5399,1885,Under Construction,3.0,Apartment
359,Mallampet,77.36,5299,1460,Under Construction,2.0,Apartment
360,Puppalaguda,246.0,9913,2490,Under Construction,3.0,Apartment
361,Puppalaguda,386.0,11016,3510,Under Construction,4.0,Apartment
362,Puppalaguda,190.0,9888,1925,Under Construction,3.0,Apartment
363,Puppalaguda,172.0,9982,1725,Under Construction,3.0,Apartment
364,Kokapet,374.0,8250,4540,Under Construction,4.0,Apartment
365,Manikonda,414.0,9399,4410,Under Construction,4.0,Apartment
366,Manikonda,241.0,9399,2565,Under Construction,3.0,Apartment
367,Manikonda,315.0,9399,3360,Under Construction,3.0,Apartment
368,Manikonda,282.0,9399,3010,Under Construction,3.0,Apartment
369,Sadashivpet,63.0,2000,3150,New,0.0,Residential Plot
370,Sadashivpet,99.81,2000,4991,New,0.0,Residential Plot
371,Sadashivpet,84.31,2000,4216,New,0.0,Residential Plot
372,Sadashivpet,63.75,2000,3188,New,0.0,Residential Plot
373,Sadashivpet,363.0,2000,18181,New,0.0,Residential Plot
374,Sadashivpet,32.07,2001,1604,New,0.0,Residential Plot
375,Sadashivpet,71.07,2000,3554,New,0.0,Residential Plot
376,Sadashivpet,72.0,2000,3600,New,0.0,Residential Plot
377,Sadashivpet,54.0,2000,2700,New,0.0,Residential Plot
378,Sadashivpet,120.0,2000,6032,New,0.0,Residential Plot
379,Sadashivpet,60.0,2000,3000,New,0.0,Residential Plot
380,Chevella,360.0,2066,17424,New,0.0,Residential Plot
381,Chevella,120.0,550,21780,New,0.0,Residential Plot
382,Chevella,60.0,688,8712,New,0.0,Residential Plot
383,Other,9.0,666,1350,New,0.0,Residential Plot
384,Sadashivpet,36.0,2000,1800,New,0.0,Residential Plot
385,Narsingi,100.0,6500,1550,Ready to move,3.0,Apartment
386,Narsingi,100.0,6479,1555,Ready to move,3.0,Apartment
387,Aminpur,60.0,4800,1250,Under Construction,2.0,Apartment
388,Chandanagar,121.0,6700,1815,Under Construction,3.0,Apartment
389,Other,122.0,7899,1548,Under Construction,3.0,Apartment
390,Chandanagar,135.0,6700,2020,Under Construction,3.0,Apartment
391,Kukatpally,105.0,7606,1382,Under Construction,2.0,Apartment
392,Other,54.75,6257,875,Under Construction,1.0,Apartment
393,Other,109.0,6077,1800,Under Construction,3.0,Apartment
394,Nizampet,68.75,5000,1375,Ready to move,3.0,Apartment
395,Nizampet,59.25,5000,1185,Ready to move,2.0,Apartment
396,Nizampet,56.0,5000,1120,Ready to move,2.0,Apartment
397,Nizampet,52.5,5000,1050,Ready to move,2.0,Apartment
398,Nizampet,71.0,5000,1420,Ready to move,3.0,Apartment
399,Nizampet,50.75,5000,1015,Ready to move,2.0,Apartment
400,Peerzadiguda,66.11,4826,1370,Under Construction,3.0,Apartment
401,Peerzadiguda,53.56,4826,1110,Under Construction,2.0,Apartment
402,Peerzadiguda,56.7,4826,1175,Under Construction,2.0,Apartment
403,Peerzadiguda,66.35,4826,1375,Under Construction,3.0,Apartment
404,Peerzadiguda,66.84,4826,1385,Under Construction,3.0,Apartment
405,Peerzadiguda,60.27,4826,1249,Under Construction,2.0,Apartment
406,Peerzadiguda,65.63,4826,1360,Under Construction,3.0,Apartment
407,Peerzadiguda,64.62,4826,1339,Under Construction,3.0,Apartment
408,Peerzadiguda,67.9,4826,1407,Under Construction,3.0,Apartment
409,Peerzadiguda,58.78,4826,1218,Under Construction,2.0,Apartment
410,Peerzadiguda,65.19,4826,1351,Under Construction,3.0,Apartment
411,Peerzadiguda,60.8,4826,1260,Under Construction,3.0,Apartment
412,Peerzadiguda,57.42,4826,1190,Under Construction,2.0,Apartment
413,Peerzadiguda,76.97,4826,1595,Under Construction,3.0,Apartment
414,Peerzadiguda,76.92,4826,1594,Under Construction,3.0,Apartment
415,Peerzadiguda,54.82,4826,1136,Under Construction,2.0,Apartment
416,Other,75.0,5084,1475,Ready to move,3.0,Apartment
417,Other,139.0,7942,1750,Ready to move,3.0,Apartment
418,Other,75.0,2777,2700,Resale,0.0,Residential Plot
419,Chandanagar,264.0,8888,2970,Resale,0.0,Residential Plot
420,Ghatkesar,21.84,1444,1512,New,0.0,Residential Plot
421,Ghatkesar,22.1,13000,170,New,0.0,Residential Plot
422,Other,31.5,1000,3150,New,0.0,Residential Plot
423,Other,36.0,1000,3600,New,0.0,Residential Plot
424,Other,16.02,1000,1602,New,0.0,Residential Plot
425,Other,27.0,1000,2700,New,0.0,Residential Plot
426,Other,14.85,1000,1485,New,0.0,Residential Plot
427,Other,18.9,1000,1890,New,0.0,Residential Plot
428,Other,22.5,1000,2250,New,0.0,Residential Plot
429,Other,14.22,1000,1422,New,0.0,Residential Plot
430,Other,13.23,1000,1323,New,0.0,Residential Plot
431,Other,17.28,1000,1728,New,0.0,Residential Plot
